DMS Customer,Outlet Name,Latitude,Longitude,Channel,Apr'24,May'24,Jun'24,Jul'24,Aug'24,Sep'24,Oct'24,Nov'24,Dec'24,Jan'25,Feb'25,Mar'25,Annual Sale,Apr'24_Active,May'24_Active,Jun'24_Active,Jul'24_Active,Aug'24_Active,Sep'24_Active,Oct'24_Active,Nov'24_Active,Dec'24_Active,Jan'25_Active,Feb'25_Active,Mar'25_Active,Churn,KITCHEN CLEANER,SURFACE DISINFECTANT,YOGA BAR,AGARBATTI,ANTISEPTIC LIQUID,ATTA,BISCUITS,BREAKFAST CEREALS,CHOCOLATES,CONFECTIONERY,CREAM,DEODORANT,FLOOR CLEANER,GHEE,HAND SANITIZER,HAND WASH,JUICES,MATCHES,NOODLES,OTHER PC PRODUCTS,PASTA,SALT,SHOWER GEL,SNACKS-BINGO,SPICES,TALC,TOILET SOAP,Pop Density (#/km2),Building Count,% built up area,Build Area growth %,Average Rent,Road_Density_m_per_sqkm,Intersection_Count,School,Corporate,Hotel,Temple,University,POI,Total Retail Outlet,months_active,growth_rate,cv,expected_loss,cum_loss,cum_share
AH3125CIS161EXP2021-88,BANSAL SUPER MARKET,21.172492,72.83002,Retail,1340273.412266,0.0,794058.7723289998,688908.39,399837.535059,727791.74,-87827.13,390464.933,377767.8506,815953.452,817305.3392,423069.2601,6687603.554554,1,0,1,1,1,1,0,1,1,1,1,1,0,0.0,0.0,0.0,104694.0,27582.1,4447049.300814,1133241.708789,24035.1,0.0,0.0,0.0,58903.65,0.0,0.0,0.0,4573.0,259938.52,117635.64,330656.097929,0.0,45845.62016,0.0,0.0,39698.696862,0.0,0.0,93750.12000000001,14413.484375,114.389330416007,48.0300734741712,10.4506434550932,14.91,26050.25979239749,29.0,0.0,0.0,0.0,0.0,0.0,72.0,144.0,10,-0.6843410782993019,0.4423083206878738,4576601.827761728,4576601.827761728,0.06313250250707057
AH2886ITC2579273,SUPERBIZ  RETAIL  LLP ,21.214217,72.845914,Retail,361844.27,237224.730647,265530.309671,47839.92,218531.8099999999,323248.97,251365.2954,78987.0762,336923.2065,580358.1542999998,83770.97660000001,96841.1233,2882465.842618,1,1,1,1,1,1,1,1,1,1,1,1,0,0.0,0.0,0.0,0.0,0.0,1344135.2622,1096856.26632,4414.396199999999,11292.1932,14054.211998,0.0,15132.6595,0.0,0.0,0.0,26521.1893,34885.48679999998,0.0,24048.9136,0.0,11867.145,0.0,14464.9725,0.0,0.0,0.0,284793.146,11894.7763671875,162.45214422954,47.5033499640644,19.3606320542551,10.92,31634.07061987586,41.0,1.0,0.0,0.0,0.0,0.0,72.0,142.0,12,-0.732367951273622,0.6351176475328,2111025.6037743394,6687627.431536067,0.09225330747077305
AH3125CIS1611070,PARTHA  AGENCY,21.172473,72.829983,Retail,2556374.92,0.0,2941771.43,1469741.25,1101583.4,517758.78,2957027.1059,545982.6452,3446747.7566,1284045.5933,2368919.1915,2382719.3619,21572671.4344,1,0,1,1,1,1,1,1,1,1,1,1,0,0.0,0.0,0.0,0.0,0.0,21572671.4344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14413.484375,114.389330416007,48.0300734741712,10.4506434550932,14.91,26050.25979239749,29.0,0.0,0.0,0.0,0.0,0.0,72.0,144.0,11,-0.06793039500637879,0.5195914280170899,1465440.091881616,8153067.523417683,0.11246850288355052
AH3123ITC1721783-EXP2019,@ MALHAR SUPER STORE,21.166228,72.81349,Retail,198998.736469,142223.095063,95804.85967199999,194281.484431,191458.380838,154904.804426,113749.6373,248646.9158,163931.2103,159534.8523,139085.9573,79076.45210000002,1881696.385999,1,1,1,1,1,1,1,1,1,1,1,1,0,0.0,0.0,178.4669,32941.7476,173.1896,757203.241224,523702.097517,2488.9175,0.0,7169.040021,0.0,1063.2636,0.0,0.0,0.0,5684.7783,1262.4696,234874.796902,69299.4474,0.0,388.0946999999999,0.0,2919.8443,16.91870000000002,0.0,0.0,242330.072135,11629.845703125,212.793162047157,42.3048524970084,20.2970257044972,17.43,63282.22068272196,119.0,0.0,0.0,0.0,0.0,0.0,103.0,207.0,12,-0.6026283708976256,0.304177515774876,1133963.6276185268,9287031.15103621,0.12811110502763215
AH2988CIS149135,MAROLI BAZAR V.V.K.SHAKARI MANDALI LTD,21.023883,72.88872,Retail,2185659.614774,2408616.884032,2176575.276027,2722599.446245,1093532.202206,2179778.819851,2017711.20584,1021369.5607,1646941.2714,1501130.6871,1866535.2069,2084267.5923,22904717.767375,1,1,1,1,1,1,1,1,1,1,1,1,0,0.0,0.0,0.0,7087.5056,0.0,412024.424219,6719032.972287,34682.002315,2123.5196,58252.997393,0.0,965.8409960000001,0.0,0.0,0.0,-0.025698,25781.743647,13508.239138,15490888.151607,0.0,0.0,0.0,0.0,-1142.838063,0.0,0.0,141513.234334,7557.8369140625,110.247330319086,24.96732121987856,32.2653137500037,9.87,46847.37050986479,59.0,0.0,0.0,0.0,0.0,0.0,28.0,56.0,12,-0.046389667351969636,0.2673883301015053,1062542.2380192748,10349573.389055485,0.14276847593954026
AH3123ITC1722030,DHIRAJ SONS THE MEGA STORES NEW ATHWALINES,21.191044,72.822848,Retail,255242.359612,252016.73,505995.752343,365022.006954,663702.075344,487876.5461779999,259841.148,317915.3857,252547.2505,286575.8640999999,263620.458,192023.8719,4102379.448631,1,1,1,1,1,1,1,1,1,1,1,1,0,0.0,0.0,0.0,26529.089,0.0,3054135.993928,644941.109597,24127.178852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8945.5358,94029.019651,20470.466641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247092.126762,12173.1787109375,418.724510023494,63.3434185731796,17.2012767328208,16.97,69308.89263526788,129.0,0.0,0.0,0.0,0.0,0.0,87.0,174.0,12,-0.24768023539705433,0.4088154517391296,1016078.307524964,11365651.69658045,0.1567848943895963
AH3123ITC17215209,LIMPIO CHEM LLP,21.149428,72.786619,Retail,0.0,0.0,36360.369694,320393.47512,0.0,264708.34,413107.154901,8998.0122,0.0,6488.838699999999,-59.0871,0.0,1049997.103515,0,0,1,1,0,1,1,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,1010127.23917,21873.8416,-0.0001620000000031041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17996.022907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10179.8564453125,76.5073382660508,20.25380279755364,70.5780872290882,25.73,15248.22392413793,19.0,0.0,0.0,0.0,0.0,0.0,4.0,9.0,6,-0.8215409041599604,1.0255137018231664,862615.5697870527,12228267.266367503,0.16868435203781684
AH3123ITC17214295,MATESHWARI SUPER STORE,21.150596,72.832344,Retail,201679.959337,137421.530774,139440.346181,135709.084162,188037.09,163075.83,157799.0916,0.0,174346.1421999999,108339.0423,171377.4457,103740.7162,1680966.278454,1,1,1,1,1,1,1,0,1,1,1,1,0,0.0,0.0,6314.3734,0.0,0.0,848920.637457,621765.094503,2964.3128,0.0,989.2948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200012.565494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11645.345703125,292.762642680008,55.2931658982524,15.0230862764575,9.38,79315.859174495,169.0,0.0,0.0,0.0,0.0,0.0,39.0,79.0,11,-0.4856171305218609,0.2034024423117275,816306.0206468428,13044573.287014345,0.17994498685695468
AH3123ITC1729145,MALHAR SUPER STORE,21.16926,72.788061,Retail,416475.81,24283.61,395365.96,28877.19,290693.02,273419.74,30506.8956,275455.5021,261234.8913,152566.2202,224812.9262,291964.2588,2665656.0242,1,1,1,1,1,1,1,1,1,1,1,1,0,0.0,0.0,0.0,0.0,0.0,2660949.3542,0.0,4706.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11151.67578125,194.149078065238,35.48881020550608,24.0884691531228,20.91,57457.17355566513,49.0,0.0,0.0,0.0,0.0,0.0,47.0,95.0,12,-0.29896466543879147,0.6106678496038872,796936.961449852,13841510.248464197,0.1909384327826004
AH2886ITC2579000,AMARDEEP MART 97276 82651,21.215886,72.826992,Retail,128863.717617,31457.002872,68358.42,131835.47,182295.113362,235200.128982,257936.9414,4140.8408,235832.8244,158630.6483,99631.76040000001,67776.96959999998,1601959.837733,1,1,1,1,1,1,1,1,1,1,1,1,0,0.0,0.0,3108.277,0.0,1383.82,224563.15478,650208.3221229999,8930.502772,6728.7777,1310.3362,0.0,19771.7224,0.0,0.0,0.0,17502.428,-866.2392000000001,34015.4385,73484.015758,0.0,-491.6,0.0,0.0,-0.0019,0.0,0.0,562310.8836000001,12301.9140625,385.295181474712,65.907788199998,12.3172759132579,9.99,69902.43219984433,126.0,0.0,0.0,0.0,0.0,0.0,100.0,200.0,12,-0.47404148465247165,0.6234337371908993,759395.4198325839,14600905.66829678,0.2014140072482702
